,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_multi_class,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.6846152305603027,0.11571473894153907,0.0012142419815063476,0.00018947385488795403,0.001,,multinomial,l2,saga,"{'C': 0.001, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'saga'}",0.3495702005730659,0.37822349570200575,0.3447946513849093,0.3562559694364852,0.36962750716332377,0.38108882521489973,0.37249283667621774,0.3744030563514804,0.35816618911174786,0.38968481375358166,0.3674307545367717,0.01385436121501908,19,0.3833174148360395,0.3924440199511833,0.3933991297888146,0.395521596094662,0.3959460893558315,0.3938236230499841,0.3898970603841664,0.3930807598429375,0.3868194842406877,0.38830521065478085,0.3912554388199087,0.0038649289708090435
1,0.06664497852325439,0.014763818476519704,0.00108029842376709,0.00016214154835428055,0.001,,multinomial,l2,lbfgs,"{'C': 0.001, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'lbfgs'}",0.35721107927411655,0.3839541547277937,0.34765998089780326,0.3600764087870105,0.35912129894937916,0.3858643744030564,0.37058261700095513,0.3629417382999045,0.35721107927411655,0.38204393505253104,0.36666666666666664,0.012543977877318459,25,0.39955428207577204,0.39435423962644595,0.3952032261487849,0.395521596094662,0.39647670593229334,0.3991297888146026,0.3933991297888146,0.39159503342884433,0.39817467897697123,0.3881990873394885,0.39516077682266787,0.0033307170645727325
2,0.08084871768951415,0.013883367485057483,0.0014603853225708008,0.00043064714532566213,0.001,,multinomial,l2,newton-cg,"{'C': 0.001, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'newton-cg'}",0.35721107927411655,0.3839541547277937,0.34765998089780326,0.3600764087870105,0.35912129894937916,0.3858643744030564,0.37058261700095513,0.3629417382999045,0.35721107927411655,0.38204393505253104,0.36666666666666664,0.012543977877318459,25,0.39955428207577204,0.39435423962644595,0.39530934946407725,0.395521596094662,0.39647670593229334,0.3991297888146026,0.3933991297888146,0.39159503342884433,0.3982808022922636,0.3881990873394885,0.39518200148572646,0.0033407107237658227
3,0.8162166833877563,0.15510651205333506,0.001233816146850586,0.00014172351196030912,0.001,,multinomial,l2,sag,"{'C': 0.001, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'sag'}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35816618911174786,0.3333333333333333,0.3333333333333333,0.34001910219675263,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33648519579751673,0.0074968517490698865,48,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.36612543775867556,0.3333333333333333,0.3333333333333333,0.3436272949166932,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33764193993420355,0.00997821050745882
4,0.6336361169815063,0.05537818029657251,0.0012467861175537109,0.00016321196990180887,0.001,balanced,multinomial,l2,saga,"{'C': 0.001, 'class_weight': 'balanced', 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'saga'}",0.35721107927411655,0.384909264565425,0.3553008595988539,0.3658070678127985,0.36103151862464183,0.396370582617001,0.36771728748806115,0.36771728748806115,0.3553008595988539,0.38013371537726837,0.36914995224450814,0.013104510729715605,1,0.39318688315822986,0.3954154727793696,0.39764406240050937,0.3921256500053062,0.3979624323463865,0.39743181576992465,0.39297463652764514,0.3956277194099544,0.3967950758781704,0.3889419505465351,0.3948105698822032,0.002783204075779855
5,0.066982102394104,0.011670200404758848,0.0011643409729003907,0.0003097741357623356,0.001,balanced,multinomial,l2,lbfgs,"{'C': 0.001, 'class_weight': 'balanced', 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'lbfgs'}",0.35721107927411655,0.3839541547277937,0.34765998089780326,0.3600764087870105,0.35912129894937916,0.3858643744030564,0.37058261700095513,0.3629417382999045,0.35721107927411655,0.38204393505253104,0.36666666666666664,0.012543977877318459,25,0.39955428207577204,0.39435423962644595,0.3952032261487849,0.395521596094662,0.39647670593229334,0.3991297888146026,0.3933991297888146,0.39159503342884433,0.39817467897697123,0.3881990873394885,0.39516077682266787,0.0033307170645727325
6,0.06993286609649658,0.003632074116451302,0.0010024070739746093,8.490923473553702e-05,0.001,balanced,multinomial,l2,newton-cg,"{'C': 0.001, 'class_weight': 'balanced', 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'newton-cg'}",0.35721107927411655,0.3839541547277937,0.34765998089780326,0.3600764087870105,0.35912129894937916,0.3858643744030564,0.37058261700095513,0.3629417382999045,0.35721107927411655,0.38204393505253104,0.36666666666666664,0.012543977877318459,25,0.39955428207577204,0.39435423962644595,0.39530934946407725,0.395521596094662,0.39647670593229334,0.3991297888146026,0.3933991297888146,0.39159503342884433,0.3982808022922636,0.3881990873394885,0.39518200148572646,0.0033407107237658227
7,0.7505872249603271,0.12822232752989532,0.0012682199478149414,0.000248626366056237,0.001,balanced,multinomial,l2,sag,"{'C': 0.001, 'class_weight': 'balanced', 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'sag'}",0.3419293218720153,0.34861509073543456,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.34001910219675263,0.3333333333333333,0.35721107927411655,0.33715377268385865,0.3391595033428844,0.007729311559192062,47,0.34341504828610847,0.3418231985567229,0.3348190597474265,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3436272949166932,0.3333333333333333,0.3557253528600233,0.34299055502493897,0.33957338427252465,0.006979784581238956
8,0.648842453956604,0.05229310368890225,0.0013304948806762695,0.00017351108454579614,0.01,,multinomial,l2,saga,"{'C': 0.01, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'saga'}",0.3533906399235912,0.3858643744030564,0.3457497612225406,0.3629417382999045,0.3562559694364852,0.3839541547277937,0.36771728748806115,0.3638968481375358,0.3533906399235912,0.3954154727793696,0.36685768863419294,0.015538964885909744,20,0.39923591212989495,0.3944603629417383,0.39711344582404756,0.3967950758781704,0.39647670593229334,0.3991297888146026,0.39318688315822986,0.39000318369945874,0.39435423962644595,0.384909264565425,0.3945664862570307,0.0041686340531470675
9,0.06485307216644287,0.012657144190214728,0.001279592514038086,0.00036148806074270013,0.01,,multinomial,l2,lbfgs,"{'C': 0.01, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'lbfgs'}",0.35721107927411655,0.3839541547277937,0.34765998089780326,0.3600764087870105,0.35912129894937916,0.3858643744030564,0.37058261700095513,0.3629417382999045,0.35721107927411655,0.38204393505253104,0.36666666666666664,0.012543977877318459,25,0.39955428207577204,0.39435423962644595,0.3952032261487849,0.395521596094662,0.39647670593229334,0.3991297888146026,0.3933991297888146,0.39159503342884433,0.39817467897697123,0.3881990873394885,0.39516077682266787,0.0033307170645727325
