,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_multi_class,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.8583144187927246,0.13737231165134703,0.002347517013549805,0.0017725946334087204,0.001,,multinomial,l2,saga,"{'C': 0.001, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'saga'}",0.3428844317096466,0.3868194842406877,0.3342884431709647,0.36867239732569246,0.3744030563514804,0.38013371537726837,0.3600764087870105,0.37058261700095513,0.3390639923591213,0.36103151862464183,0.3617956064947469,0.016971955133708628,44,0.39573384272524675,0.39106441685238247,0.3930807598429375,0.3874562241324419,0.38809296402419613,0.3944603629417383,0.38660723761010296,0.39117054016767483,0.38872970391595035,0.38788071739361135,0.39042767696062824,0.003010986089167168
1,0.08858644962310791,0.027927671849110155,0.001699519157409668,0.0005139110570052009,0.001,,multinomial,l2,lbfgs,"{'C': 0.001, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'lbfgs'}",0.35148042024832854,0.38204393505253104,0.3447946513849093,0.36867239732569246,0.36867239732569246,0.3763132760267431,0.36867239732569246,0.36867239732569246,0.3390639923591213,0.3744030563514804,0.36427889207258835,0.013488369393627296,29,0.396370582617001,0.3907460469065054,0.39361137641939936,0.3930807598429375,0.39159503342884433,0.39318688315822986,0.39138278679825955,0.38756234744773427,0.3893664438077046,0.38618274434893346,0.39130850047755494,0.0028649560917110134
2,0.11550168991088867,0.04500433777624045,0.0017120361328125,0.0004498708512836308,0.001,,multinomial,l2,newton-cg,"{'C': 0.001, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'newton-cg'}",0.35148042024832854,0.38204393505253104,0.3447946513849093,0.36867239732569246,0.36867239732569246,0.3763132760267431,0.36867239732569246,0.36867239732569246,0.3390639923591213,0.3744030563514804,0.36427889207258835,0.013488369393627296,29,0.396370582617001,0.3907460469065054,0.39361137641939936,0.3930807598429375,0.39159503342884433,0.39318688315822986,0.39138278679825955,0.38756234744773427,0.3893664438077046,0.38618274434893346,0.39130850047755494,0.0028649560917110134
3,1.0123335123062134,0.2564600595758519,0.0016478538513183595,0.0004988372761406874,0.001,,multinomial,l2,sag,"{'C': 0.001, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'sag'}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3524355300859599,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.335243553008596,0.005730659025787977,48,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3530722699777141,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3353072269977714,0.005921680993314243
4,0.7412114858627319,0.07793422637312523,0.0013670682907104491,0.00022010790955665714,0.001,balanced,multinomial,l2,saga,"{'C': 0.001, 'class_weight': 'balanced', 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'saga'}",0.3457497612225406,0.3772683858643744,0.3524355300859599,0.3638968481375358,0.37249283667621774,0.37917860553963706,0.35148042024832854,0.3638968481375358,0.3438395415472779,0.36103151862464183,0.361127029608405,0.011978539643761454,45,0.39361137641939936,0.38756234744773427,0.389790937068874,0.3909582935370901,0.392656266581768,0.3947787328876154,0.3832112915207471,0.3928685132123528,0.3874562241324419,0.389790937068874,0.3902684919876897,0.0033158229438539698
5,0.07204687595367432,0.013029560291638449,0.0011502742767333985,0.00020848856696608167,0.001,balanced,multinomial,l2,lbfgs,"{'C': 0.001, 'class_weight': 'balanced', 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'lbfgs'}",0.35148042024832854,0.38204393505253104,0.3447946513849093,0.36867239732569246,0.36867239732569246,0.3763132760267431,0.36867239732569246,0.36867239732569246,0.3390639923591213,0.3744030563514804,0.36427889207258835,0.013488369393627296,29,0.396370582617001,0.3907460469065054,0.39361137641939936,0.3930807598429375,0.39159503342884433,0.39318688315822986,0.39138278679825955,0.38756234744773427,0.3893664438077046,0.38618274434893346,0.39130850047755494,0.0028649560917110134
6,0.08435859680175781,0.008733048012544424,0.0011975765228271484,0.00019684291850998711,0.001,balanced,multinomial,l2,newton-cg,"{'C': 0.001, 'class_weight': 'balanced', 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'newton-cg'}",0.35148042024832854,0.38204393505253104,0.3447946513849093,0.36867239732569246,0.36867239732569246,0.3763132760267431,0.36867239732569246,0.36867239732569246,0.3390639923591213,0.3744030563514804,0.36427889207258835,0.013488369393627296,29,0.396370582617001,0.3907460469065054,0.39361137641939936,0.3930807598429375,0.39159503342884433,0.39318688315822986,0.39138278679825955,0.38756234744773427,0.3893664438077046,0.38618274434893346,0.39130850047755494,0.0028649560917110134
7,0.9724033117294312,0.20950791468735186,0.0016570091247558594,0.000317863794952703,0.001,balanced,multinomial,l2,sag,"{'C': 0.001, 'class_weight': 'balanced', 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'sag'}",0.3333333333333333,0.3390639923591213,0.3333333333333333,0.3333333333333333,0.3457497612225406,0.3333333333333333,0.3333333333333333,0.3438395415472779,0.34001910219675263,0.3333333333333333,0.33686723973256927,0.004660505405446367,47,0.3333333333333333,0.3664438077045527,0.3333333333333333,0.3333333333333333,0.34702324100604903,0.3333333333333333,0.3333333333333333,0.3422476918178924,0.3482967207895575,0.3333333333333333,0.34040114613180517,0.010428547640916021
8,0.7234513282775878,0.07831448518697368,0.001447606086730957,0.0002025233859993634,0.01,,multinomial,l2,saga,"{'C': 0.01, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'saga'}",0.35052531041069723,0.38108882521489973,0.3419293218720153,0.3658070678127985,0.36771728748806115,0.3839541547277937,0.36771728748806115,0.3667621776504298,0.3361986628462273,0.3763132760267431,0.36380133715377266,0.015236621500376867,42,0.3965828292475857,0.3921256500053062,0.39117054016767483,0.39148891011355197,0.39117054016767483,0.3932930064735222,0.39117054016767483,0.38756234744773427,0.3909582935370901,0.38522763451130215,0.3910750291839117,0.00288274761339138
9,0.061579656600952146,0.011274868553925527,0.001140427589416504,0.0001903984575141534,0.01,,multinomial,l2,lbfgs,"{'C': 0.01, 'class_weight': None, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'lbfgs'}",0.35148042024832854,0.38204393505253104,0.3447946513849093,0.36867239732569246,0.36867239732569246,0.3763132760267431,0.36867239732569246,0.36867239732569246,0.33810888252148996,0.3744030563514804,0.3641833810888252,0.013668753044274385,35,0.396370582617001,0.3907460469065054,0.39350525310410694,0.3930807598429375,0.39159503342884433,0.39318688315822986,0.39138278679825955,0.38756234744773427,0.3893664438077046,0.38618274434893346,0.39129788814602573,0.002856590491429475
